Sprint on the spot, 45, 15
Mountain climbers, 45, 15
Squats, 45, 15
Press up with thruster, 45, 15
Crab toe touches, 45, 15
Up/down plank, 45, 15
Sprint on the spot, 45, 15
Ab crunches with legs raised, 45, 15
Slow mountain climbers, 45, 15
Reverse lunges, 45, 15
Burpees, 45, 15
Squat jumps, 45, 15
Bicycle crunches, 45, 15
Spiderman lunge with t-spine twist, 45, 15
Narrow push ups, 45, 15
Sprint with burpe, 45, 15
